_info,unitPrice,skuId,meterId
"SQL Database Elastic Pool - Basic, 300 DTU Pack, eDTUs, SQL Database, Databases, 1/Day, Consumption",14.52,DZH318Z0BQHM/00CS,ed5ea410-f2d6-45fa-9fcc-5ff1621c874d
"SQL Database Elastic Pool - Basic, 200 DTU Pack, eDTUs, SQL Database, Databases, 1/Day, Consumption",9.68,DZH318Z0BQHM/008X,ed5ea410-f2d6-45fa-9fcc-5ff1621c874d
"SQL Database Elastic Pool - Basic, 100 DTU Pack, eDTUs, SQL Database, Databases, 1/Day, Consumption",4.84,DZH318Z0BQHM/008S,ed5ea410-f2d6-45fa-9fcc-5ff1621c874d
"SQL Database Elastic Pool - Basic, 1200 DTU Pack, eDTUs, SQL Database, Databases, 1/Day, Consumption",58.08,DZH318Z0BQHM/0090,ed5ea410-f2d6-45fa-9fcc-5ff1621c874d
"SQL Database Elastic Pool - Basic, 1 DTU, eDTUs, SQL Database, Databases, 1/Day, Consumption",0.0484,DZH318Z0BQHM/0094,ed5ea410-f2d6-45fa-9fcc-5ff1621c874d
"SQL Database Elastic Pool - Basic, 1600 DTU Pack, eDTUs, SQL Database, Databases, 1/Day, Consumption",77.44,DZH318Z0BQHM/0095,ed5ea410-f2d6-45fa-9fcc-5ff1621c874d
"SQL Database Elastic Pool - Basic, 50 DTU Pack, eDTUs, SQL Database, Databases, 1/Day, Consumption",2.42,DZH318Z0BQHM/00BD,ed5ea410-f2d6-45fa-9fcc-5ff1621c874d
"SQL Database Single General Purpose - Serverless - Compute Gen5, 8 vCore, 8 vCore - Free, SQL Database, Databases, 1 Hour, Consumption",0.0,DZH318Z0C124/00CG,e8fc3d27-e917-5275-b7d8-90fa488b629b
"SQL Database - LTR Backup Storage, Backup ZRS, Backup ZRS Data Stored, SQL Database, Databases, 1 GB/Month, Consumption",0.0372,DZH318Z0BQFJ/003V,df443c72-5fe8-4c26-84ba-1eb967f4e138
"SQL Database Single General Purpose - Serverless - Compute Gen5, 1 vCore, 1 vCore - Free, SQL Database, Databases, 1 Hour, Consumption",0.0,DZH318Z0C124/00CN,de19ec23-bd06-53d3-8f4b-3607d8591ac4
"SQL Database SingleDB Hyperscale - Storage, Hyperscale, Hyperscale Data Stored, SQL Database, Databases, 1 GB/Month, Consumption",0.119,DZH318Z0BXWT/000M,dab1cf40-67c5-43bd-84d4-5b22f2b0a3b4
"SQL Database SingleDB Hyperscale – Serverless – Compute Gen5, 48 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption, 48 vCore",0.761,DZH318Z09PHV/00B4,d666c270-6926-5fbb-8331-98b146bfcb82
