_info,unitPrice
"SQL Database SingleDB Hyperscale - Serverless - Read Repl - Compute Gen5, 2 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",0.492
"SQL Database Single/Elastic Pool General Purpose - Storage, General Purpose Zone Redundancy, General Purpose Zone Redundancy Data Stored, SQL Database, Databases, 1 GB/Month, Consumption",0.274
"SQL Database SingleDB Hyperscale - Storage, Backup - RA-GRS, Backup - RA-GRS Data Stored, SQL Database, Databases, 1 GB/Month, Consumption",0.238
"SQL Database Single General Purpose - Serverless - Compute Gen5, 80 vCore Zone Redundancy, Zone Redundancy vCore, SQL Database, Databases, 1 Hour, Consumption",27.548822
"SQL Database Single General Purpose - Serverless - Compute Gen5, 24 vCore Zone Redundancy, Zone Redundancy vCore, SQL Database, Databases, 1 Hour, Consumption",8.264647
"SQL Database Single General Purpose - Serverless - Compute Gen5, 1 vCore Zone Redundancy, Zone Redundancy vCore, SQL Database, Databases, 1 Hour, Consumption",0.34436
"SQL Database Single General Purpose - Serverless - Compute Gen5, 8 vCore Zone Redundancy, Zone Redundancy vCore, SQL Database, Databases, 1 Hour, Consumption",2.754882
"SQL Database Single General Purpose - Serverless - Compute Gen5, 48 vCore Zone Redundancy, Zone Redundancy vCore, SQL Database, Databases, 1 Hour, Consumption",16.529293
"SQL Database Single General Purpose - Serverless - Compute Gen5, 16 vCore Zone Redundancy, Zone Redundancy vCore, SQL Database, Databases, 1 Hour, Consumption",5.509764
"SQL Database Single General Purpose - Serverless - Compute Gen5, 2 vCore Zone Redundancy, Zone Redundancy vCore, SQL Database, Databases, 1 Hour, Consumption",0.688721
"SQL Database Single General Purpose - Serverless - Compute Gen5, 32 vCore Zone Redundancy, Zone Redundancy vCore, SQL Database, Databases, 1 Hour, Consumption",11.019529
"SQL Database Single General Purpose - Serverless - Compute Gen5, 4 vCore Zone Redundancy, Zone Redundancy vCore, SQL Database, Databases, 1 Hour, Consumption",1.377441
"SQL Database Single General Purpose - Serverless - Compute Gen5, 4 vCore, 4 vCore - Free, SQL Database, Databases, 1 Hour, Consumption",0.0
"SQL Database Single Standard, S0, S0 DTUs, SQL Database, Databases, 1/Day, Consumption",0.4839
"SQL Database Elastic Pool - Premium RS, 4000 DTU Pack, eDTUs, SQL Database, Databases, 1/Day, Consumption",180.0
"SQL Database Elastic Pool - Premium RS, 500 DTU Pack, eDTUs, SQL Database, Databases, 1/Day, Consumption",22.5
"SQL Database Elastic Pool - Premium RS, 1500 DTU Pack, eDTUs, SQL Database, Databases, 1/Day, Consumption",67.5
"SQL Database Elastic Pool - Premium RS, 1000 DTU Pack, eDTUs, SQL Database, Databases, 1/Day, Consumption",45.0
"SQL Database Elastic Pool - Premium RS, 1 DTU, eDTUs, SQL Database, Databases, 1/Day, Consumption",0.045
"SQL Database Elastic Pool - Premium RS, 3500 DTU Pack, eDTUs, SQL Database, Databases, 1/Day, Consumption",157.5
"SQL Database Elastic Pool - Premium RS, 2500 DTU Pack, eDTUs, SQL Database, Databases, 1/Day, Consumption",112.5
"SQL Database Elastic Pool - Premium RS, 2000 DTU Pack, eDTUs, SQL Database, Databases, 1/Day, Consumption",90.0
"SQL Database Elastic Pool - Premium RS, 125 DTU Pack, eDTUs, SQL Database, Databases, 1/Day, Consumption",5.625
"SQL Database Elastic Pool - Premium RS, 3000 DTU Pack, eDTUs, SQL Database, Databases, 1/Day, Consumption",135.0
"SQL Database Elastic Pool - Premium RS, 250 DTU Pack, eDTUs, SQL Database, Databases, 1/Day, Consumption",11.25
"SQL Database SingleDB Hyperscale - LTR Backup Storage, Backup LRS, Backup LRS Data Stored, SQL Database, Databases, 1 GB/Month, Consumption",0.0298
"SQL Database Single Standard, 10 DTU, 10 DTUs, SQL Database, Databases, 1/Day, Consumption",0.4839
"SQL Database Single Standard, S6, 10 DTUs, SQL Database, Databases, 1/Day, Consumption",19.356
"SQL Database Single Standard, S12, 10 DTUs, SQL Database, Databases, 1/Day, Consumption",145.17
"SQL Database Single Standard, S7, 10 DTUs, SQL Database, Databases, 1/Day, Consumption",38.712
"SQL Database Single Standard, S9, 10 DTUs, SQL Database, Databases, 1/Day, Consumption",77.424
"SQL Database Single Standard, S4, 10 DTUs, SQL Database, Databases, 1/Day, Consumption",9.678
"SQL Database Premium - Storage, Premium, Data Stored, SQL Database, Databases, 1 GB/Month, Consumption",0.442
"SQL Database Single Premium, P1 Secondary Active, P1 Secondary Active DTU, SQL Database, Databases, 1/Day, Consumption",15.0
"SQL Database Single Free, Free, Free DTU, SQL Database, Databases, 1/Day, Consumption",0.0
"SQL Database SingleDB Hyperscale - LTR Backup Storage, Backup RA-GRS, Backup RA-GRS Data Stored, SQL Database, Databases, 1 GB/Month, Consumption",0.0595
"SQL Database SingleDB Hyperscale - Storage, Backup - LRS, Backup - LRS Data Stored, SQL Database, Databases, 1 GB/Month, Consumption",0.0952
"SQL Database Single/Elastic Pool PITR Backup Storage, Backup ZRS, ZRS Data Stored, SQL Database, Databases, 1 GB/Month, Consumption",0.149
